step,p5,p25,p50,p75,p95
34,219.54785442474744,229.1150703853064,236.22687906545747,243.0295127200163,253.0455439902757
35,219.97903825913264,229.51857242544472,236.40934704267312,242.93322683363138,253.12885763821447
36,220.15040740273685,229.56080812209495,236.68137314217705,243.4792838963917,253.9539738141205
37,219.74649163895285,229.62413839892065,237.0674858812102,243.3182219611962,254.9424795383245
38,219.7637317271509,229.31189621679516,237.3935039964611,243.94474447221245,255.44730942533747
39,219.27994333978083,229.7595379425091,237.49887320726765,243.77509220458808,255.65029746028117
40,219.3264830462134,229.74391123044222,237.27646667959073,244.4671370238659,256.11004407232014
41,218.75170507338197,229.7656038681121,237.42966751586692,244.72252626752868,256.2841138630679
42,219.1586123243346,230.04632136247412,237.4806397187057,245.1474117387966,256.14704498787034
43,219.34863123056206,230.05887652515926,237.7391271484697,245.5066590375638,256.8278073573015
44,219.08729466267295,229.87197322839586,237.51046522334852,245.63540287787114,257.02727618205876
45,218.95685922316963,229.75202187330635,238.25345434085614,245.9667111279131,257.5098112206224
46,218.93366694172818,230.30657317150747,237.958086074574,246.30558422672618,258.15685746701837
47,219.33848082420988,230.31986811896974,238.19057400218213,246.47445481501322,258.9612821345093
48,219.16660504710813,230.41223567071393,238.35234855535896,246.9024730896051,258.7008754706129
49,218.43057583593028,230.30227039591523,238.5799617176386,246.86976661478587,259.05952714214794
50,219.15300131804437,230.4624895031725,238.40289740815234,247.3395061012067,259.4156730945629
51,218.9991699456001,230.3643553069911,238.54865859714357,247.66156841531333,259.75687935802534
52,218.70815272579853,230.70595287985964,238.93632008876472,248.25517528021916,260.1074377453552
53,218.87212589885544,230.75224348369687,239.28939683843035,248.122722758493,260.1917046867038
54,218.80216366829205,230.9069837776257,239.08670631879227,248.43270509896834,260.8843972094666
55,218.72415245104418,231.35394516973855,239.48261307287635,248.71803509836292,261.8706437211566
56,218.52804087855466,231.34894809435485,240.19783827391262,249.13305890760543,262.81003114680374
57,218.71727899145733,231.52172600829724,240.36805163263364,249.1930714042098,262.58812206493394
58,218.6092837880403,231.17662360169697,240.05582633345807,249.64295902990204,263.46194164483404
59,218.83286828010276,231.3937825333717,240.40364879586502,249.83918735215485,263.2741287593963
60,218.75643317929655,231.178434410156,240.52440934199421,250.4227344167352,263.37127350296464
61,218.77275355759375,231.43394319859777,240.75661404952308,250.5162836237389,262.8548890411529
62,218.3603923789905,231.49471632857433,241.16371256766035,250.90934838075515,263.62999870394464
63,219.1664466483201,231.6121076573079,240.96980322896644,251.06324307119084,264.27784551313744
64,219.38796015649905,231.8232037630865,241.5280924834116,251.2452750492393,264.0843822715816
65,218.6981320459412,232.11238493033628,241.57772322504252,251.78336848109967,265.3274485483383
66,218.73890184946245,232.2889946203607,241.74474304423848,252.02174511085536,265.4337196793236
67,218.18705056578443,232.26938148268235,241.72209458388303,252.32814723824438,265.69860521395424
68,218.3180117952556,232.21970808914668,242.73459605844658,252.64876869273914,266.0103343589692
69,218.06042462500648,232.63940354694114,243.00041114146714,252.72792058982077,266.4700819147693
70,219.14057359881997,232.73007868526818,242.74708215859897,253.5247226893656,266.7261842002776
71,218.3616691095959,232.9264915865864,242.70608397080747,253.52006305057225,267.8940146874419
72,219.1313942212864,233.6427472179842,243.27468598254137,253.83760347267523,268.32351225838875
73,218.5408922029411,233.5799417992598,243.39594410917874,253.6514712420921,268.41143139125376
74,218.98165755343211,233.2537671371893,243.0810138858518,254.31595340839715,269.7245088623879
75,218.933850072635,233.70473923609302,243.69965136764745,254.70649798409826,270.66880424806965
76,218.9881202621474,233.52412512492953,243.8992079425796,254.84600509148046,270.74499702928944
77,218.88069173922682,233.99828890100727,244.66997728324338,254.7876283946959,271.20192310891986
78,218.2123531801225,233.94910770563294,244.7532807070207,255.10007504668766,271.3709210573422
79,218.3735474455521,234.47040441491714,244.99959835604392,255.70537474717713,271.6030695463006
80,217.94084777092343,234.5814073730948,245.29517256533688,256.08248142214734,272.2519674062789
81,218.315140027094,234.88750190229115,245.73369048109166,256.5155986158743,273.07781318639496
82,218.65695622433554,234.6179298567269,245.46702966762177,256.5979815253838,273.95805025535805
83,218.89993955702738,234.6017271739932,245.56495925152655,257.1130518972548,274.14334297375524
84,218.3516745263871,234.8916062773918,245.7066068703063,257.1982148404968,274.1801686350557
85,219.01064487761366,234.67251030578,245.69437017995068,257.35579617722624,274.82795583751204
86,219.38067384195386,234.7991412657264,246.227395814773,257.57949220864384,275.5252819387137
87,219.6407322251447,235.12745968268945,246.26532518697474,258.3376091956286,276.0832604085791
88,218.70643204302175,235.28829019427377,246.46411683778376,258.61168011983386,276.2693975411795
89,219.4469381728276,234.98178594936329,246.4124254333974,259.32246419925457,276.1030327247785
90,219.24415191253777,235.21648252895068,246.74975415875795,259.1537130516931,276.6324146722762
91,219.64424143530576,235.17326016652413,246.93118427174875,259.5281778323658,276.75581766341276
92,219.65797586269596,234.9842653238058,246.9361302404182,259.89224584234717,277.3179981338595
93,219.78249922490585,235.80506362265564,247.1939358426995,260.2698192510039,277.4054462054228
94,219.9502767814676,235.59602369062313,247.44864450132252,260.23283569990167,277.8903066149153
95,219.25582394048593,235.1729733939169,247.32564483468957,260.68871001751455,278.69563414606336
96,218.90023721348552,235.2878834658953,247.76888012127836,260.76035051463754,278.759723863892
97,218.0477980278263,235.21938994865837,248.07489391261433,261.41428592348643,279.68514199840365
98,218.64403621822382,235.45827628905508,247.66733445351178,261.2350546391896,280.40172283577806
99,218.66245450326988,235.33819319838437,247.9877651432101,261.07365342335834,280.44056142972835
100,218.9846636376665,235.599616470104,248.09192074230523,261.65204730217926,282.462155125295
101,219.37557916163786,235.4860602528795,248.10250053858528,262.0427193896936,282.2702215798397
102,219.31212737280862,235.23269692436682,248.18276329882383,262.2483445062229,282.0428282439387
103,219.3558476445774,235.9756293500539,248.57272707531843,262.05373599762254,282.9153801278845
104,218.75955117265076,235.67807286989134,248.38954086533664,262.42676218397787,284.4190508630671
105,218.55337277520084,235.962646374817,248.46228377076193,262.75348382928206,284.31997384020127
106,219.09015747862585,235.87827631015531,248.4911509528846,262.97186941658794,284.02813885156945
107,219.80715539748172,236.25373052914108,249.29088545473354,263.34066062481025,283.57971184864573
108,218.62662199096073,236.24735490868437,249.54267075773444,263.20559752835163,283.8967034839082
109,219.70633244740134,236.2877412415542,249.28410536927385,263.24032000037926,284.20006022733526
110,219.41496511407564,236.47002737193085,249.4618389266094,263.6665016625807,284.09952299264364
111,219.6364190079091,236.55667158597163,249.49860199099913,264.11457714300286,284.68468587127745
112,218.25746130488167,236.5433685099861,249.62357463126685,264.1084194100357,286.14932374300685
113,218.11800613278825,236.70160927144298,250.2356427621471,264.18068538376053,286.17850275264414
114,219.12882648341665,236.47725886056213,250.61743286379203,264.2519168042437,286.81756463414973
115,219.28083590613457,236.48869221734378,251.00284596289288,264.4533976543768,287.09661889904936
116,219.65549268297545,236.81692489452777,251.07623585798882,264.8581505562576,286.8687741561174
117,220.46202657261296,236.6050644215017,251.3227579718881,264.9454339059904,287.5500602595216
118,219.79809731915017,237.32135645504889,251.31371993847006,265.02853735321725,288.3329539734434
119,219.8550354209424,236.37558592425512,251.8002245061639,265.85933485430564,288.6948752456153
120,220.09978312374687,236.96301363184725,251.86940844760355,265.5893262064822,288.7985358783834
121,219.53197343940707,237.3176846123228,251.80273651701413,266.3008608299798,288.89661648892223
122,219.61604274874347,237.40061135427402,252.34618032875127,266.4141555084291,288.6986282621239
123,219.76449140265555,237.87539753234614,252.7201429363402,266.8899187879243,290.21167130532785
124,219.72531486566365,238.47870054175698,253.01826914374954,267.435021359062,290.0195341256541
125,218.85483411948522,238.25133075877855,253.56722464542867,268.0918742953653,290.6418554276078
126,218.91659310832728,238.4939368527847,254.11141224435386,268.2266435792121,291.44473411554526
127,219.57778148165383,238.3187187774476,253.83653144493624,267.8063481902732,292.33836334971306
128,219.01703148229245,238.3997206847599,254.09214909853677,268.50878486907715,292.97146619633725
129,219.2854665644998,238.57871106446714,254.22769112627148,268.7852930926752,293.5385729596389
130,220.03245044121476,238.8019728781116,254.3805435970966,269.33597472893337,293.8346759140014
131,219.63261721084214,238.8886552369356,254.15677257758557,269.75392460434585,294.4219771957178
132,220.285030028965,239.16687475533638,254.96133665320616,269.8912690433218,294.0518055032148
133,220.5574011359068,239.3025317369099,254.94268196889954,270.04477318204033,295.2872319884706
134,220.36812905542945,239.79850809079304,255.48237997487865,269.90910547583775,295.2947909353052
135,220.532157856431,239.83513455488543,255.70093026059,270.56039315333777,296.0436436751023
136,219.99970876003212,239.67997466670238,255.51545864326096,270.466322926775,296.8807364976724
137,220.26413868478696,239.99760534938088,256.1900646573645,271.2769127618865,298.1675224561706
138,220.86581857994113,240.3111688445277,256.06114239940547,271.0370056909433,297.7753792328024
139,221.00952325029323,240.26406032939025,256.20458747615055,271.33584367152343,298.3410614432538
140,220.93005613132723,240.14445451089225,256.20390482682126,271.9417405928758,297.77326469278154
141,220.8571245625027,240.2775799088285,256.2013404035754,272.759309519397,298.47905582726526
142,220.5021169527482,240.28773578584642,256.9871454009094,273.0294671948735,298.09972557479347
143,220.70273141816818,240.32179497365624,256.2739153086593,272.9713237571459,298.639315055338
144,221.47703767760166,240.78106763102662,256.81079892557943,273.2982439785572,298.44635302995164
145,221.71957314064824,240.30423710378363,257.26934192171836,273.34060139443017,298.2069394282076
146,220.9760825550883,240.18779675250178,257.3912790533544,273.4095685302041,298.80283286922725
147,221.19449950217592,240.84568177848288,257.29803921252585,273.30004755483424,298.4517558855109
148,221.63679923340848,241.06312990604724,257.88156584600665,274.2957748192194,300.2831786886185
149,221.2600684732733,241.02265013942832,257.88517788184265,274.1187787027603,300.94887328028193
150,220.60288154003447,241.17463056793935,257.896125286126,274.0727805517053,301.9712241238227
151,221.090682775538,241.2251036744687,258.331612625141,274.2965522780058,301.4821095844947
152,221.07428776765846,241.61709373308582,258.355801084874,274.916976575519,301.21291037580517
153,221.26986742496157,241.60350426618567,258.5350903299339,275.04725598823705,302.70098923864293
154,222.38507957345982,241.51317222780716,258.551666721678,275.09639251578017,302.63008864665954
155,222.33101407371032,241.6524115086848,258.81282191575315,275.52346706537844,303.36997807488154
156,221.3035158190849,241.6816103404593,259.5509459633938,276.3379546796323,303.8470719632472
157,222.48331489063057,241.57192959886532,259.16837968465336,276.2298978027954,305.18695457931295
158,221.774266753776,241.5267357650121,259.1956457328059,276.5964232581586,305.86555777962576
159,222.96784857504807,241.92160155486945,260.02395203140554,277.0906267836983,305.28337846188595
160,222.40506605473692,242.15734321381746,260.0049376635758,277.81697336501355,305.7662675983734
161,222.23643730825637,242.91785609982153,259.88941767538176,277.98469386168136,306.5913738559172
162,223.10524043193885,242.78641773736118,260.32779624282404,278.0689180355026,306.8313167663287
163,223.7888544655101,242.57835689730334,261.3616593279686,278.8896832289047,307.43114268807363
164,223.23791003742514,242.85361298073647,260.9647880728147,279.1261181966245,308.5224873787662
165,223.3106631674238,243.22617230115225,260.9533116838353,279.4164595785396,306.9273764955243
166,222.65255141962788,243.36043829622326,261.2827840282753,279.7079245897977,308.6286750815709
167,223.2679717291798,243.0742766363944,261.8760675030345,279.3034882591036,309.2726374546542
168,222.45732935590684,243.40725115394923,261.7486749175464,279.59442590588577,309.6938959700127
169,222.7203834540228,243.58780075462656,261.9694393435769,279.86332085567227,310.9188287068099
170,222.8148618576635,243.88012930414502,261.8683616524991,280.40548643696434,311.6785194871174
171,222.53054584716165,244.16539962147488,262.708807170195,280.767513152438,311.9329635855373
172,222.07194983178854,244.74385886096306,262.96424267772375,281.14477419785464,311.5495089565512
173,222.9898094004748,244.75852028930782,262.5260579005318,281.5767681099693,311.4714167277023
174,222.51635150281024,244.75568963579454,262.3316313691655,281.75628480946426,313.3894856875362
175,223.38510303836046,244.26322587374662,262.7214205726931,281.9148407476704,313.2025900978896
176,222.449517432425,244.93346026519077,262.5288437729324,281.8105965009125,313.1588517515597
177,222.15773086853082,244.89165635448154,262.7686742343038,282.15002944809754,313.18007959663635
178,222.9684744603271,245.78086390892474,262.99189155122355,282.85259889775824,315.39658037298045
179,222.88563809807223,246.35988429226737,263.34696408126666,283.27874376813486,314.53809115418613
180,223.62078871775623,246.29539777694703,263.98527274068647,283.27337866476626,314.6108173499096
181,223.1343095296583,246.43487827820078,264.01227238188915,283.4235845327982,315.255398582781
182,224.30495897912195,246.06105651607294,264.19619525315323,284.40863840890233,314.83409094992845
183,223.28697692670912,246.44233238718982,264.26900259461377,284.87743258360547,314.4468117202236
184,223.6263388774255,246.65510757023375,264.69910854610674,284.4847205637559,314.24025080752614
185,223.54707910195228,246.71349340642053,264.5223404600888,284.4582513175893,315.92162681159544
186,224.16097815170934,246.72784795491543,265.16153932288455,284.9465456428499,315.8391865354721
187,223.88523641892468,246.94894918169553,265.4238547315184,285.61723290446315,317.9667527118966
188,224.14403343985163,246.856702649714,265.58378784937497,285.2088181911515,317.6314386059433
189,223.67446275329974,246.76542543819733,265.57609631933735,285.5201624747789,318.72288741339304
190,223.77699044277944,247.14011454598483,265.7998913346666,286.0151933964637,318.74630076142734
191,223.09136153419976,246.98471483240692,265.9959486749311,286.08776339038803,318.4880661934586
192,223.85153396259741,247.37122096668793,266.13761662821616,286.13101120105273,318.84080426219026
193,224.42915714542235,247.3111294738417,266.3766759482725,286.68172795985623,320.1586307076753
194,223.49121898542722,247.60200199177837,267.01192266365206,287.05328804025885,318.93982279276815
195,223.2463028767876,247.7438462183501,267.2883809753867,287.5307369588307,319.8858287351195
196,222.50075779729713,247.5264826268472,267.26096356505656,288.3092655047561,320.2237713500498
197,222.74653113320008,248.51274340449532,267.6868892160318,287.9703175374209,320.6456910820934
198,223.79380806700726,248.79519288425695,268.189859433576,288.60198546144153,321.5741144244185
199,224.32703236892388,248.59374903782708,268.3759310398227,288.68275424228034,322.31927336706883
200,223.3366939834004,248.92387429927413,268.91949976601813,289.16865745572017,322.4911432932391
201,223.59388776967825,248.85057122168902,269.91522448167177,289.38635798200573,322.42243963399324
202,224.39748198593543,249.4279305804969,269.420658237736,289.46419873682686,323.0185402523551
203,224.12859127885642,249.187823578941,269.43802375801937,289.6409878179931,323.39559031671337
204,223.74671064170198,248.98277143519647,269.5119130961996,291.03522509739406,324.4813357121866
205,223.93853688441325,248.92163334698384,269.3785318039263,290.6507336067382,325.3882560827104
206,224.05330080778464,249.18765873607634,269.89261175890397,290.9631643731882,325.2343274595938
207,224.27043237198745,249.38210610090283,270.53526181594674,290.9782415524163,326.0719982984732
208,223.90473081448226,249.0937201540048,269.8801147685495,291.2606929436133,326.17877226348514
209,224.25563249742783,249.28042073908443,269.8931781057181,291.6902080025137,325.7845062835422
210,224.37806641500117,248.93643748700939,270.4823533683193,292.73500353124257,326.67884404624544
211,225.02025950803153,249.62614205583316,270.2510106118345,292.53324753184324,325.85579598406775
212,225.09696149032965,250.07876170133017,271.14148440127866,292.6686114488075,326.8980697262547
213,224.5770618616551,249.68480810467997,271.18427458959695,292.9983159799243,326.75924454216926
214,223.59135887451976,249.52575955587986,271.0375281553645,293.3032656790113,326.54211425566126
215,224.85354523648198,249.64434499348494,271.0668093169994,293.7836942936424,328.023082817969
216,224.5138659102152,250.16698772280836,271.5821738545309,294.1468435794111,327.4194517580342
217,224.3079688499456,250.44741635417049,271.3892561632399,294.36844035339055,328.80292459605676
218,225.02905347785085,250.20277739959542,272.21654740638564,294.6436191241898,328.6692448160196
219,224.40187687919703,251.1037772393562,272.01587306066597,294.64468196311196,328.768915982634
220,224.65536254221135,250.8346081413433,272.5526709925089,295.2550114109171,329.34335986516857
221,223.97774498876902,251.48426515994663,272.20800044982786,294.953565205966,328.5672464411142
222,223.9955641067342,251.03488833116802,272.235416764516,294.9025234217045,329.1032845615936
223,224.18977908631754,251.48562917922115,272.1060445927739,294.9934121660321,329.3274952707933
224,223.8676563442212,251.11802513436746,272.56746574684246,295.14453103021555,330.5403125566332
225,223.42198707546285,251.06261524690834,273.0663303986149,295.878812819513,331.03679524902293
226,224.16536810250398,251.6791029709677,272.94585613888074,295.82352605780693,330.43776327769734
227,223.52824395363615,251.9500026960951,273.4326359664096,296.64033432865904,330.8681929421899
228,223.76430159481114,251.79461868708427,273.3196576783655,296.92859673785125,331.0475002914772
229,223.832765525821,252.27068335100796,273.5734483521822,297.3037025303378,331.3812298592383
230,224.17388911410637,252.2600604870065,274.16497364374015,297.34886540316387,332.66696035805603
231,224.89581217681587,252.26213271585377,274.1945155105326,297.9524809451127,332.157850065646
232,224.34111271837446,252.65861140208074,274.5898328144703,298.173378293425,333.43356813772624
233,223.84630133748078,252.59011449765444,274.8515394464448,298.40509168695746,333.6037691773847
234,224.3151120979739,252.5245735753505,275.0138045570483,298.33048957958624,334.2023138889959
235,224.0105588660607,252.94879793443187,275.70654960788386,298.3578467272258,333.4435380648288
236,224.85476566772365,252.8162272192729,276.10696152885646,298.8396181690157,334.7294665639884
237,224.76789069707465,253.27666132883942,275.79065416649894,298.79624377373744,335.8433912742334
238,225.1579102404393,253.14517344868239,276.2583007989639,298.34832393761667,333.7857364173454
239,225.81408983828183,253.67283340639102,276.43286557117705,299.4447326444853,335.2120881342427
240,225.47671035072528,254.02178145686872,277.0560207070289,299.426591622367,334.89095542549467
241,225.35862955502785,254.20079379557944,277.26581773823835,299.1403066758142,335.3336120199859
242,225.96296618697284,254.5672927811013,277.3601386184107,299.6450621810918,335.83339326694903
243,225.23045766685067,255.04984714699086,277.9987441734313,300.04595899129725,336.1367683171937
244,225.81523408839598,255.41736257482881,277.93931199143947,300.5064778969171,338.37263812733846
245,227.17854253710743,255.54493187305422,278.4265599046905,300.5276702657944,336.67389274496486
246,226.32811305684322,256.02117899515025,278.1027382719486,301.1343271112315,338.4768092817001
247,225.56764587732476,256.55797174800415,278.10374194010296,301.7563226582516,338.86565299400826
248,225.13268346750976,256.21916531564665,279.05909133957744,301.90003258429056,337.70346602283536
249,225.55587992020762,256.5022246790908,279.2011888952327,301.7013491675399,339.3312979675954
250,226.99855593930576,256.9659872674876,279.4984379283798,301.89520222154204,339.52380088905596
251,226.2680214603928,256.8372764117995,279.4881019160609,301.7002528677508,339.4490601319092
252,227.1122923189129,257.1127238560628,279.30424215682626,302.6539452808342,339.9736232849942
253,226.74676558501642,257.15546319873965,279.6794612651112,302.01463937164147,341.12991022460045
254,226.4180944494293,257.75380117128685,280.2390594587338,302.5681759876335,342.19654199819644
255,226.2857745826693,258.25442004027724,280.2008404720468,302.31664727542136,342.40792412125785
256,227.4071391980677,258.7727101731592,280.6953566687599,302.86738122404023,344.11032992532677
257,226.72662451558554,258.66517611272707,280.91377178380867,303.28943348041764,343.05062943373593
258,226.48443792684444,258.3452018707441,281.47359855214773,302.9101513628432,343.88158024170895
259,225.87912371873082,259.1139699710825,281.05748658812,303.05782634001764,344.40131177271996
260,224.9062091720853,258.6156768223468,281.5696070963256,303.88789272303075,344.43061186214425
261,225.93395587774828,258.3270795204885,281.41443408830156,304.3398701734212,344.35665158526973
262,225.6308398407059,258.97203616829637,281.09817726720246,305.0778722541569,344.7582992118152
263,226.28472989021375,258.5620665190439,281.7562925181012,305.1940934706535,345.28668930971924
264,225.77653552342886,258.4815412121976,281.347222234494,304.37445610718555,346.22352942431314
265,226.0840640475118,258.4033266990815,282.3650119892675,305.772234907861,345.45278119833245
266,226.67198101268838,259.4260833859302,283.03066239345617,305.3277582860286,348.3702074784548
267,226.14260288088448,259.17950873124687,282.9937958185608,305.39439243246113,347.4427023619385
268,226.90442688290705,259.1904798986287,283.7911386191518,306.3550677955391,348.2713541535358
269,227.4175158148542,259.36513931964754,283.16445577680054,306.4247556037203,348.95933773232343
270,227.8679746824139,258.9646640531229,283.52881902793183,307.0971515145362,348.8941631115713
271,227.93987681506306,259.18658087566513,283.51070033687495,306.88745340405853,349.78563026884797
272,226.72102825911927,260.1853553956292,283.87130878517354,307.77196450145556,351.80327556316087
273,228.14416478495878,259.88444384633783,283.61722328442397,308.41841768600835,352.1932662405734
274,228.26159817605955,259.5250064339271,283.55083845084926,309.25570624425893,353.5404264879196
275,227.61785659697645,259.90242002789273,283.6855207101179,309.1690007643486,353.09215250814685
276,227.3951342432901,260.0733199584088,283.77002124515707,309.4312172040015,350.8275898832539
277,228.17105343326878,259.89159727938465,283.91584788346955,310.0860947361708,350.91991422184697
278,228.37798272253167,260.00349854627643,284.15401124522697,309.29387258330064,351.357373559842
279,227.9429872480251,260.2946229859172,284.99300161530294,309.66248838182736,351.05849875206763
280,228.76378436121922,261.13694688414046,285.250537450172,309.63266305229047,351.1162689412272
281,229.5322038477681,261.03364253148993,284.8072711921013,309.6024796075799,351.3905034557164
282,228.74275544967827,261.2692789197484,285.22566074183544,310.2565177375581,351.4714628559671
283,229.34721721784973,261.40857515541927,285.1956646941206,310.48434815835213,350.89386156141575
284,229.89817070241594,261.05390460973223,285.833945851203,310.7105788028552,350.96777834951905
285,229.47307062194997,261.06996657498956,285.5604241185008,311.08837680379094,352.731801644689
286,230.18349312528838,260.80425705453746,286.11322596287573,310.43006151688894,355.12574860511535
287,230.02870900836433,261.74604381801987,285.78760030021954,311.64719270238186,355.86334999363356
288,229.3331718916651,262.0371038042791,285.3898592234665,311.0053487583303,355.01908582362717
289,229.24592192389846,262.0794306809138,286.21378837220794,311.8485102016655,355.6062874504832
290,230.28237000904255,262.7239605488408,286.2184065843647,312.36252096947794,354.21242850933373
291,230.56745781422845,262.55391159642306,285.96757902582823,312.2598668031745,354.61371653363284
292,230.50694204750522,263.230954455856,286.3557902913017,312.7432098693283,354.7283517441268
293,230.13562187692528,262.681104715678,286.4515271017183,313.2203854221479,356.09763891700266
294,229.98070129443434,263.28473088735285,287.6112597739285,313.9253901537203,356.2316697598081
295,230.88231881951225,263.0702003141571,287.45158181612294,314.1292236432071,355.78891068487314
296,230.23843862331924,262.8926659856039,287.9337548665784,314.7906664926019,356.6493916332697
297,229.63861292338817,263.33246164883184,287.9242314028399,315.30534149411983,356.91840608104854
298,230.25871213110113,263.33238467217416,287.87378000368585,315.49675656791135,357.49832655821166
299,229.9085910734721,263.09968361918334,288.25084967822306,315.550198126882,357.8817992703558
300,229.6972285010441,263.44100752037787,288.0996567519067,316.6351332584656,358.492007785822
301,230.34422833882024,263.3171765493655,288.26268437031916,316.8835174133589,359.0532841128207
302,229.8109430821296,263.17525565101494,289.02851832485754,316.7740224629841,359.0335948132439
303,230.19360849698523,263.75529921716657,289.00844159996916,317.336947704303,358.28894715934797
304,230.9881802473578,263.8728553079392,289.2371582630729,318.13719526755887,359.47483581624084
305,231.4139729841397,263.52829752171743,289.4043125194564,318.0150512567474,360.2260680467919
306,231.0534220582485,263.4061419295311,290.0143398019445,318.68846515847144,361.2294817529695
307,230.71512744729958,263.3911835271174,290.42072051745606,318.9452465794615,361.69261182144396
308,231.1828946861533,263.73022159103925,291.2200913329233,319.08763999272446,361.47220099824744
309,231.68122673254126,263.7218306039653,291.0103005599683,320.1966755505346,361.9510937366912
310,231.75713751917328,264.04309375665116,290.424780432175,319.9690477883652,361.76427524740234
311,231.7375537324892,264.08495417215636,290.5353160118734,320.70118278545795,362.92251039410087
312,232.24684723994645,265.15701185734446,291.2874481158708,320.0131489308897,361.3044363890447
313,231.92561059034063,265.38406309252184,291.027937086467,320.5838986140276,362.3979412481887
314,231.6968439635833,265.14280433551875,291.70197327838815,320.9177259287914,363.0547650630232
315,232.62886741508373,265.20624638537214,291.79707595700233,320.97427164631335,361.91680254335296
316,232.5953744098473,265.1954651910908,292.60625673052533,320.8205574198464,363.54858496966017
317,231.61605658789665,265.182009522983,292.5736493805305,320.4727591440557,363.286277192922
318,232.85147996629445,265.6086084654285,292.68066685347776,321.27711093577744,362.8445920322796
319,232.64564156893238,265.968746148471,292.60201409099955,321.3854107166201,363.72390297661843
320,233.26768525310456,266.0584566210118,292.67438498659965,321.2990005395201,364.97824458535786
321,233.16390258282388,266.43144612061235,293.1700962184692,321.4038447458618,364.893656646327
322,232.68044606626546,266.4356678789838,293.2462024913764,321.7505466477675,365.93546832226747
323,233.26616358758278,266.22900615381,293.43951905615154,322.45394053644713,366.47072985702675
324,232.2944019593562,266.4378529922261,293.12749182012885,322.39844004840137,365.72819999667456
325,232.75635459286207,266.78221941262177,293.32836834605223,323.3245775463326,366.69035110511965
326,232.72228610833733,266.3235614834307,294.0998361707917,323.0763616227988,365.26950052980516
327,232.0427873496018,266.4470019677688,294.3085847427601,323.9883575599187,367.24030681147406
328,231.42365622960136,266.01482923803314,294.11565599367896,324.27716956527877,367.5293107093127
329,231.9807504866521,267.4703026549928,294.4245722132507,324.432852180315,368.2081359360037
330,231.89486191902316,267.2358771817155,294.3944261058506,324.09297562270143,370.6660130101189
331,231.8261256500763,267.70536314048036,294.7462256942206,324.6214908251462,370.4389644385114
332,231.74463015062875,267.80918977019417,294.73570998847356,325.10695739483475,371.38158529191924
333,232.30765414149766,267.7526097298052,295.574845147168,325.1290496594887,371.2643477670001
